K = 1 method.euclideanDistance
Class	Accuracy	
0	100.000%	
1	99.451%	
2	98.870%	
3	97.814%	
4	98.343%	
5	98.352%	
6	100.000%	
7	98.883%	
8	94.253%	
9	93.889%	
K = 1 method.weightedDistance
Class	Accuracy	
0	100.000%	
1	98.901%	
2	99.435%	
3	98.907%	
4	98.343%	
5	97.802%	
6	99.448%	
7	97.765%	
8	94.828%	
9	95.000%	
K = 5 method.euclideanDistance
Class	Accuracy	
0	100.000%	
1	98.901%	
2	97.175%	
3	97.268%	
4	98.343%	
5	98.352%	
6	100.000%	
7	97.207%	
8	91.954%	
9	96.111%	
K = 5 method.weightedDistance
Class	Accuracy	
0	100.000%	
1	99.451%	
2	98.870%	
3	97.268%	
4	98.343%	
5	97.802%	
6	98.895%	
7	97.207%	
8	90.805%	
9	95.000%	
