sgd
Class	Accuracy	
0	99.438%	
1	89.011%	
2	96.045%	
3	90.164%	
4	97.238%	
5	93.956%	
6	98.343%	
7	91.061%	
8	83.908%	
9	93.333%	
rmsprop
Class	Accuracy	
0	100.000%	
1	100.000%	
2	99.435%	
3	100.000%	
4	98.895%	
5	96.703%	
6	99.448%	
7	94.413%	
8	97.126%	
9	97.778%	
adagrad
Class	Accuracy	
0	100.000%	
1	100.000%	
2	98.305%	
3	99.454%	
4	99.448%	
5	98.352%	
6	99.448%	
7	95.531%	
8	97.701%	
9	98.333%	
adadelta
Class	Accuracy	
0	100.000%	
1	100.000%	
2	98.870%	
3	98.361%	
4	98.895%	
5	97.253%	
6	97.790%	
7	98.324%	
8	95.402%	
9	94.444%	
adam
Class	Accuracy	
0	99.438%	
1	100.000%	
2	98.870%	
3	99.454%	
4	99.448%	
5	96.703%	
6	99.448%	
7	97.207%	
8	96.552%	
9	96.667%	
adamax
Class	Accuracy	
0	100.000%	
1	100.000%	
2	98.305%	
3	99.454%	
4	100.000%	
5	97.802%	
6	99.448%	
7	97.207%	
8	94.828%	
9	97.222%	
nadam
Class	Accuracy	
0	100.000%	
1	100.000%	
2	97.740%	
3	97.268%	
4	97.790%	
5	97.802%	
6	98.895%	
7	93.296%	
8	96.552%	
9	99.444%	
