sgd
Class	Accuracy	
0	98.876%	
1	97.253%	
2	97.740%	
3	93.989%	
4	96.133%	
5	96.703%	
6	98.343%	
7	89.944%	
8	87.931%	
9	93.333%	
rmsprop
Class	Accuracy	
0	100.000%	
1	99.451%	
2	98.870%	
3	99.454%	
4	100.000%	
5	96.703%	
6	97.790%	
7	97.207%	
8	98.276%	
9	96.667%	
adagrad
Class	Accuracy	
0	100.000%	
1	100.000%	
2	99.435%	
3	98.361%	
4	98.895%	
5	97.802%	
6	98.895%	
7	96.648%	
8	97.126%	
9	96.667%	
adadelta
Class	Accuracy	
0	100.000%	
1	100.000%	
2	98.870%	
3	99.454%	
4	98.895%	
5	98.901%	
6	97.790%	
7	96.648%	
8	97.701%	
9	93.333%	
adam
Class	Accuracy	
0	100.000%	
1	99.451%	
2	98.870%	
3	99.454%	
4	99.448%	
5	97.802%	
6	98.343%	
7	96.089%	
8	98.851%	
9	96.667%	
adamax
Class	Accuracy	
0	100.000%	
1	100.000%	
2	98.870%	
3	97.814%	
4	98.343%	
5	97.802%	
6	99.448%	
7	93.296%	
8	97.701%	
9	95.556%	
nadam
Class	Accuracy	
0	100.000%	
1	99.451%	
2	96.045%	
3	99.454%	
4	99.448%	
5	96.154%	
6	100.000%	
7	93.296%	
8	96.552%	
9	97.222%	
