DecisionTreeClassifier
Class	Accuracy	
0	95.506%	
1	87.363%	
2	83.051%	
3	80.874%	
4	79.558%	
5	87.363%	
6	94.475%	
7	78.212%	
8	85.632%	
9	86.111%	
DecisionTreeClassifier
Class	Accuracy	
0	93.258%	
1	0.000%	
2	1.130%	
3	90.164%	
4	4.972%	
5	9.890%	
6	96.685%	
7	55.307%	
8	0.000%	
9	29.444%	
DecisionTreeClassifier
Class	Accuracy	
0	94.944%	
1	87.363%	
2	83.616%	
3	87.978%	
4	93.370%	
5	95.055%	
6	95.580%	
7	79.888%	
8	84.483%	
9	82.778%	
DecisionTreeClassifier
Class	Accuracy	
0	97.753%	
1	100.000%	
2	0.000%	
3	0.000%	
4	0.000%	
5	0.000%	
6	0.000%	
7	70.391%	
8	0.000%	
9	0.000%	
DecisionTreeClassifier
Class	Accuracy	
0	97.753%	
1	0.000%	
2	0.000%	
3	91.803%	
4	0.000%	
5	0.000%	
6	96.685%	
7	0.000%	
8	0.000%	
9	0.000%	
MLPClassifier
Class	Accuracy	
0	99.438%	
1	98.901%	
2	96.610%	
3	93.443%	
4	97.790%	
5	98.352%	
6	97.790%	
7	92.179%	
8	91.954%	
9	98.889%	
MLPClassifier
Class	Accuracy	
0	98.876%	
1	96.703%	
2	96.045%	
3	93.989%	
4	97.790%	
5	98.901%	
6	97.790%	
7	91.620%	
8	88.506%	
9	95.556%	
MLPClassifier
Class	Accuracy	
0	98.876%	
1	98.901%	
2	98.305%	
3	93.443%	
4	97.790%	
5	98.901%	
6	97.790%	
7	92.179%	
8	90.805%	
9	97.778%	
MLPClassifier
Class	Accuracy	
0	98.876%	
1	100.000%	
2	96.610%	
3	92.896%	
4	97.238%	
5	98.352%	
6	97.790%	
7	92.179%	
8	93.103%	
9	96.667%	
MLPClassifier
Class	Accuracy	
0	98.876%	
1	95.055%	
2	97.740%	
3	92.350%	
4	97.238%	
5	98.352%	
6	98.343%	
7	90.503%	
8	86.782%	
9	95.556%	
